,Course,TermName,ClassAveLetter,ClassAveNum,SubjectCode,URL,Instructor,Instructor_1,Instructor_2,Instructor_3
9362,PHYS346,F2022,B+,3.3,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-346,"Vachon, Brigitte","Vachon, Brigitte",,
9363,PHYS346,F2023,B+,3.3,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-346,"Vachon, Brigitte","Vachon, Brigitte",,
9364,PHYS350,F2016,B,3.0,PHYS,https://www.mcgill.ca/study/2016-2017/courses/phys-350,"Reisner, Walter","Reisner, Walter",,
9365,PHYS350,F2017,B+,3.3,PHYS,https://www.mcgill.ca/study/2017-2018/courses/phys-350,"Reisner, Walter","Reisner, Walter",,
9366,PHYS350,F2018,A-,3.7,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-350,"Reisner, Walter","Reisner, Walter",,
9367,PHYS350,F2019,A-,3.7,PHYS,https://www.mcgill.ca/study/2019-2020/courses/phys-350,"Sievers, Jonathan Le Roy","Sievers, Jonathan Le Roy",,
9368,PHYS350,F2020,A,4.0,PHYS,https://www.mcgill.ca/study/2020-2021/courses/phys-350,"Sievers, Jonathan Le Roy","Sievers, Jonathan Le Roy",,
9369,PHYS350,F2021,B+,3.3,PHYS,https://www.mcgill.ca/study/2021-2022/courses/phys-350,"Haggard, Daryl","Haggard, Daryl",,
9370,PHYS350,F2022,A-,3.7,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-350,"Lee, Eve J","Lee, Eve J",,
9371,PHYS350,F2023,B+,3.3,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-350,"Lee, Eve","Lee, Eve",,
9372,PHYS351,W2017,A-,3.7,PHYS,https://www.mcgill.ca/study/2016-2017/courses/phys-351,"Gervais, Guillaume","Gervais, Guillaume",,
9373,PHYS351,W2018,A-,3.7,PHYS,https://www.mcgill.ca/study/2017-2018/courses/phys-351,"Gervais, Guillaume","Gervais, Guillaume",,
9374,PHYS351,W2019,A-,3.7,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-351,"Jeon, Sang Yong","Jeon, Sang Yong",,
9375,PHYS351,W2021,A-,3.7,PHYS,https://www.mcgill.ca/study/2020-2021/courses/phys-351,"Dasgupta, Keshav","Dasgupta, Keshav",,
9376,PHYS351,W2023,B+,3.3,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-351,"Schutz, Katelin","Schutz, Katelin",,
9377,PHYS352,F2017,A-,3.7,PHYS,https://www.mcgill.ca/study/2017-2018/courses/phys-352,"Hanna, David","Hanna, David",,
9378,PHYS352,F2018,B+,3.3,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-352,"Cumming, Andrew","Cumming, Andrew",,
9379,PHYS352,F2019,A-,3.7,PHYS,https://www.mcgill.ca/study/2019-2020/courses/phys-352,"Rutledge, Robert","Rutledge, Robert",,
9380,PHYS352,F2020,A,4.0,PHYS,https://www.mcgill.ca/study/2020-2021/courses/phys-352,"Rutledge, Robert","Rutledge, Robert",,
9381,PHYS352,F2022,B+,3.3,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-352,"Siwick, Bradley","Siwick, Bradley",,
9382,PHYS352,F2023,B+,3.3,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-352,"Siwick, Bradley","Siwick, Bradley",,
9383,PHYS357,F2015,A-,3.7,PHYS,https://www.mcgill.ca/study/2015-2016/courses/phys-357,"Guo, Hong","Guo, Hong",,
9384,PHYS357,F2016,B+,3.3,PHYS,https://www.mcgill.ca/study/2016-2017/courses/phys-357,"Guo, Hong","Guo, Hong",,
