Class,Course,TermName,ClassAveLetter,ClassAveNum,Credits,
AEPH114-201401,AEPH114,W2014,B+,3.3,4,0
AEPH114-201501,AEPH114,W2015,B,3.0,4,0
AEPH114-201601,AEPH114,W2016,B,3.0,4,0
AEPH114-201701,AEPH114,W2017,B-,2.7,4,0
AEPH114-201801,AEPH114,W2018,B,3.0,4,0
AEPH114-201901,AEPH114,W2019,C+,2.3,4,0
AEPH114-202101,AEPH114,W2021,B,3.0,4,0
AEPH114-202201,AEPH114,W2022,B,3.0,4,0
AEPH114-202301,AEPH114,W2023,B,3.0,4,0
AEPH114-202401,AEPH114,W2024,B,3.0,4,0
AEPH115-201701,AEPH115,W2017,B-,2.7,4,1
AEPH115-201901,AEPH115,W2019,C+,2.3,4,1
AEPH115-202101,AEPH115,W2021,B+,3.3,4,1
AERO401-201909,AERO401,F2019,A,4.0,3,0
AERO401-202209,AERO401,F2022,A,4.0,3,0
AERO401-202309,AERO401,F2023,A-,3.7,3,0
AERO410-202301,AERO410,W2023,A,4.0,3,1
AFRI200-201601,AFRI200,W2016,B+,3.3,3,0
AFRI200-201609,AFRI200,F2016,B+,3.3,3,0
AFRI200-201709,AFRI200,F2017,A-,3.7,3,0
AFRI200-201809,AFRI200,F2018,B+,3.3,3,0
AFRI200-201909,AFRI200,F2019,A-,3.7,3,0
AFRI200-202009,AFRI200,F2020,B+,3.3,3,0
AFRI200-202109,AFRI200,F2021,B+,3.3,3,0
AFRI200-202209,AFRI200,F2022,A,4.0,3,0
AFRI200-202309,AFRI200,F2023,A-,3.7,3,0
AFRI401-201609,AFRI401,F2016,A,4.0,3,1
AFRI401-201709,AFRI401,F2017,A,4.0,3,1
AFRI401-201809,AFRI401,F2018,A,4.0,3,1
AGEC200-201609,AGEC200,F2016,A,4.0,3,0
AGEC200-201709,AGEC200,F2017,B+,3.3,3,0
AGEC200-201809,AGEC200,F2018,B+,3.3,3,0
AGEC200-201909,AGEC200,F2019,A-,3.7,3,0
AGEC200-202109,AGEC200,F2021,A,4.0,3,0
AGEC200-202209,AGEC200,F2022,B+,3.3,3,0
AGEC200-202309,AGEC200,F2023,A-,3.7,3,0
AGEC231-201801,AGEC231,W2018,B+,3.3,3,1
AGEC330-201709,AGEC330,F2017,B+,3.3,3,0
AGEC430-201901,AGEC430,W2019,A-,3.7,3,1
AGEC430-202201,AGEC430,W2022,A-,3.7,3,1
AGEC442-201901,AGEC442,W2019,A-,3.7,3,0
AGRI215-201809,AGRI215,F2018,A,4.0,3,1
AGRI325-201905,AGRI325,S2019,A-,3.7,3,0
AGRI330-201801,AGRI330,W2018,A,4.0,1,1
AGRI340-202101,AGRI340,W2021,A,4.0,3,0
AGRI340-202105,AGRI340,S2021,A,4.0,3,0
AGRI340-202301,AGRI340,W2023,A,4.0,3,0
AGRI340-202401,AGRI340,W2024,A,4.0,3,0
AGRI411-201301,AGRI411,W2013,A-,3.7,3,1
AGRI411-201801,AGRI411,W2018,A-,3.7,3,1
AGRI411-201901,AGRI411,W2019,A-,3.7,3,1
AGRI411-202201,AGRI411,W2022,A,4.0,3,1
AGRI411-202301,AGRI411,W2023,A-,3.7,3,1
AGRI411-202401,AGRI411,W2024,A,4.0,3,1
AGRI510-202101,AGRI510,W2021,A,4.0,3,0
AGRI550-201401,AGRI550,W2014,A-,3.7,3,1
ANAT212-201401,ANAT212,W2014,B+,3.3,3,0
ANAT212-201501,ANAT212,W2015,B+,3.3,3,0
ANAT212-201601,ANAT212,W2016,B+,3.3,3,0
ANAT212-201701,ANAT212,W2017,B+,3.3,3,0
ANAT212-201801,ANAT212,W2018,B+,3.3,3,0
ANAT212-201901,ANAT212,W2019,B+,3.3,3,0
ANAT212-202101,ANAT212,W2021,B+,3.3,3,0
ANAT212-202201,ANAT212,W2022,B-,2.7,3,0
ANAT212-202301,ANAT212,W2023,B+,3.3,3,0
ANAT212-202401,ANAT212,W2024,B+,3.3,3,0
ANAT214-201409,ANAT214,F2014,B+,3.3,3,1
ANAT214-201509,ANAT214,F2015,B+,3.3,3,1
ANAT214-201609,ANAT214,F2016,B+,3.3,3,1
ANAT214-201709,ANAT214,F2017,B+,3.3,3,1
ANAT214-201809,ANAT214,F2018,B+,3.3,3,1
ANAT214-201909,ANAT214,F2019,B,3.0,3,1
ANAT214-202009,ANAT214,F2020,A,4.0,3,1
ANAT214-202109,ANAT214,F2021,B+,3.3,3,1
ANAT214-202209,ANAT214,F2022,A-,3.7,3,1
ANAT214-202309,ANAT214,F2023,B+,3.3,3,1
ANAT261-201309,ANAT261,F2013,B,3.0,4,0
ANAT261-201409,ANAT261,F2014,B+,3.3,4,0
ANAT261-201509,ANAT261,F2015,B+,3.3,4,0
ANAT261-201609,ANAT261,F2016,B,3.0,4,0
ANAT261-201709,ANAT261,F2017,A-,3.7,4,0
ANAT261-201809,ANAT261,F2018,B+,3.3,4,0
ANAT261-201909,ANAT261,F2019,B,3.0,4,0
ANAT261-202009,ANAT261,F2020,A-,3.7,4,0
ANAT261-202109,ANAT261,F2021,B+,3.3,4,0
ANAT261-202209,ANAT261,F2022,B+,3.3,4,0
ANAT261-202309,ANAT261,F2023,A-,3.7,4,0
ANAT262-201401,ANAT262,W2014,B+,3.3,3,1
ANAT262-201501,ANAT262,W2015,B+,3.3,3,1
ANAT262-201601,ANAT262,W2016,B,3.0,3,1
ANAT262-201701,ANAT262,W2017,B,3.0,3,1
ANAT262-201801,ANAT262,W2018,B+,3.3,3,1
ANAT262-201901,ANAT262,W2019,B+,3.3,3,1
ANAT262-202101,ANAT262,W2021,A-,3.7,3,1
ANAT262-202201,ANAT262,W2022,A-,3.7,3,1
ANAT262-202301,ANAT262,W2023,B+,3.3,3,1
ANAT262-202401,ANAT262,W2024,B,3.0,3,1
ANAT314-201901,ANAT314,W2019,B,3.0,3,0
ANAT314-202101,ANAT314,W2021,A-,3.7,3,0
ANAT314-202201,ANAT314,W2022,A-,3.7,3,0
ANAT314-202301,ANAT314,W2023,B+,3.3,3,0
ANAT314-202401,ANAT314,W2024,A-,3.7,3,0
ANAT315-201409,ANAT315,F2014,B+,3.3,3,1
ANAT315-201509,ANAT315,F2015,B,3.0,3,1
ANAT315-201609,ANAT315,F2016,B+,3.3,3,1
ANAT315-201709,ANAT315,F2017,B+,3.3,3,1
ANAT315-201809,ANAT315,F2018,B+,3.3,3,1
ANAT315-201909,ANAT315,F2019,A-,3.7,3,1
ANAT315-202009,ANAT315,F2020,A-,3.7,3,1
